"corpus","preloaded/bnc2014_spoken_tt3"
"wonder",1030
"young",1030
"anyone",1023
"c",1023
"cold",1022
"dinner",1022
"awful",1022
"knows",1020
"f",1019
"clock",1013
"hope",1013
"pick",1007
"y",1007
"may",1005
"sunday",1001
"meant",996
"hmm",995
"hang",993
"girls",992
"front",989
"white",988
"seems",987
"less",986
"pound",976
"sleep",975
"tried",972
"gave",971
"wear",963
"reason",958
"hand",958
"late",948
"needs",945
"red",931
"works",929
"text",928
"soon",928
"straight",926
"stupid",919
"case",918
"cut",917
"party",917
"age",916
"telling",916
"felt",915
"sat",915
"eh",915
"middle",914
"coffee",913
"bits",913
"easy",911
"although",911
"wine",910
"early",910
"kept",909
"books",908
"taken",904
"summer",904
"sense",902
"normally",902
"check",902
"honest",901
"cake",899
"usually",895
"n",894
"unless",892
"matter",891
"under",890
"high",890
"country",887
"twelve",886
"fifteen",882
"whereas",881
"story",880
"train",877
"places",875
"hello",875
"bet",875
"care",874
"lost",872
"watching",872
"gosh",867
"monday",864
"meet",864
"eating",864
"language",859
"ready",859
"almost",857
"normal",856
"ages",854
"allowed",851
"spend",851
"brilliant",850
"often",848
"annoying",843
"london",842
"sitting",841
"words",841
"liked",838
"table",836
"guys",835
"thanks",835
"lived",834
"driving",829
"sh",826
"type",821
"playing",818
"putting",818
"bus",817
"boy",816
"near",816
"happens",815
"picture",815
"game",815
"mhm",813
"b",813
"close",811
"walking",808
"bag",806
"crazy",804
"turned",803
"card",803
"class",801
"worry",799
"reading",799
"ridiculous",799
"green",797
"group",795
"along",793
"rest",789
"child",787
"married",786
"beautiful",784
"garden",784
"nobody",784
"sister",783
"uni",783
"quid",780
"lunch",780
"business",779
"likes",778
"sound",778
"seem",777
"dog",777
"especially",772
"yours",772
"bloody",770
"finished",768
"light",768
"chicken",767
"park",764
"running",763
"question",759
"brother",757
"h",755
"email",747
"proper",744
"l",744
"university",743
"learn",740
"music",739
"cheese",738
"takes",735
"area",733
"older",731
"certain",730
"anybody",729
"flat",729
"conversation",729
"huge",724
"given",719
"ring",717
"across",716
"lives",715
"evening",712
"g",711
"behind",708
"changed",706
"tonight",706
"hell",705
"worth",703
"nearly",701
"wednesday",696
"hold",693
"sweet",691
"eleven",690
"amount",688
"students",687
"blue",686
"otherwise",683
"company",682
"e",681
"facebook",679
"apart",678
"paying",677
"sad",677
"mother",674
"feeling",673
"fish",673
"watched",672
"break",672
"kitchen",670
"anywhere",666
"teacher",666
"space",665
"cream",664
"busy",664
"town",663
"england",660
"thursday",658
"died",656
"cheap",654
"miss",650
"percent",650
"colour",650
"level",648
"plan",645
"seeing",644
"tv",643
"cook",642
"deal",636
"hotel",636
"instead",635
"wedding",634
"realise",634
"extra",633
"writing",633
"cat",631
"actual",628
"depends",626
"tiny",625
"boys",624
"p",624
"paper",620
"bread",619
"using",617
"box",617
"forty",616
"strange",615
"cute",614
"ice",613
"clothes",612
"body",610
"perhaps",610
"brought",610
"onto",604
"floor",602
"worse",601
"u",599
"moving",598
"sell",597
"fit",596
"message",596
"terrible",595
"milk",595
"bigger",593
"sick",590
"important",588
"pictures",587
"cup",587
"french",586
"women",584
"cost",583
"properly",583
"experience",582
"date",582
"eighteen",580
"decided",575
"totally",573
"poor",572
"particularly",571
"enjoy",571
"interested",570
"lady",570
"inside",566
"short",566
"men",566
"office",566
"tut",565
"choose",564
"order",563
"team",563
"tired",563
"size",563
"forgot",562
"waiting",559
"giving",557
"longer",557
"line",556
"internet",554
"difference",554
"finish",554
"teaching",553
"building",552
"listen",552
"goodness",550
"needed",550
"favourite",548
"dress",547
"bottom",545
"single",544
"walked",543
"stopped",543
"slightly",542
"spent",542
"list",542
"drinking",541
"touch",538
"stand",538
"street",537
"quickly",536
"asking",535
"wish",534
"sign",533
"easier",533
"its",533
"dead",532
"carry",530
"forget",529
"clean",526
"darling",526
"shame",524
"pub",522
"rubbish",519
"fat",518
"thinks",518
"nineteen",517
"anymore",517
"meal",517
"bank",517
"shut",515
"example",514
"tuesday",514
"forward",511
"odd",510
"gym",509
"eyes",509
"test",508
"piece",507
"meeting",506
"hopefully",505
"photos",503
"song",502
"special",501
"glass",501
"worried",501
"answer",500
"boring",500
"rid",500
"window",500
"bless",499
"cooking",497
"earlier",497
"south",496
"afternoon",495
"computer",494
"everywhere",492
"main",491
"happening",491
"stick",491
"hospital",491
"british",490
"agree",489
"learning",488
"against",488
"expect",488
"pizza",487
"grand",487
"shoes",486
"loved",485
"taste",484
"breakfast",483
"possibly",482
"buying",482
"reckon",481
"lucky",479
"drunk",479
"missed",478
"online",477
"easter",477
"hey",477
"written",477
"jobs",476
"bottle",476
"feels",474
"certainly",474
"pass",472
"sugar",469
"dark",469
"lose",468
"booked",468
"hi",468
"double",467
"scared",467
"himself",467
"warm",465
"ooh",465
"price",465
"fire",463
"doctor",463
"twenty-five",463
"worst",461
"r",460
"beginning",459
"quick",458
"america",457
"bar",456
"smell",456
"grow",456
"spanish",455
"form",455
"hands",455
"meat",454
"questions",453
"younger",453
"within",453
"church",451
"recently",451
"houses",450
"hit",450
"sixteen",450
"shopping",449
"de",449
"wearing",449
"term",449
"exciting",449
"kinda",449
"trouble",447
"student",447
"air",446
"silly",443
"surprised",441
"bothered",440
"terms",440
"shower",439
"rent",438
"feet",437
"bedroom",437
"towards",437
"egg",436
"recording",436
"wrote",436
"perfect",435
"third",433
"picked",432
"none",432
"stayed",431
"themselves",431
"washing",430
"problems",430
"starting",430
"wall",430
"scary",428
"letter",427
"city",427
"kid",426
"ended",426
"club",425
"chance",424
"situation",421
"awkward",421
"staying",420
"weather",419
"die",419
"miles",419
"save",419
"war",419
"similar",418
"research",418
"centre",417
"fast",415
"photo",415
"brain",414
"cards",414
"sorts",413
"fourteen",413
"charge",411
"realised",411
"suddenly",410
"cars",410
"aw",410
"training",409
"eye",408
"upset",407
"fall",407
"born",406
"history",406
"stuck",406
"quiet",406
"honestly",405
"fancy",405
"clear",405
"college",405
"films",404
"glad",404
"leaving",404
"excited",404
"american",402
"known",401
"become",401
"drop",400
"father",400
"corner",400
"pull",400
"laugh",400
"tree",397
"bike",397
"forgotten",397
"particular",397
"toilet",396
"strong",396
"twice",395
"add",395
"boyfriend",393
"eggs",393
"trip",392
"legs",392
"mad",392
"foot",392
"fantastic",391
"news",390
