"corpus","preloaded/bnc2014_spoken_tt3"
"reckon",578
"n",577
"unless",575
"massive",573
"london",573
"minute",572
"question",570
"music",570
"train",564
"supposed",563
"although",561
"business",556
"send",553
"table",553
"walking",553
"sell",552
"knows",552
"everybody",551
"hold",551
"write",551
"yep",549
"hang",549
"works",549
"blue",548
"speak",546
"sense",545
"worth",545
"green",544
"bits",542
"running",542
"happens",538
"near",536
"taken",536
"words",536
"literally",536
"met",536
"matter",536
"case",535
"hit",534
"age",527
"amount",526
"check",526
"woman",525
"young",523
"e",522
"myself",521
"completely",520
"parents",520
"putting",519
"expensive",519
"terrible",517
"normally",516
"its",515
"cold",515
"often",514
"soon",513
"england",511
"huh",510
"university",509
"p",509
"behind",507
"yesterday",507
"honest",505
"building",503
"america",503
"seem",502
"against",502
"horrible",498
"dog",498
"light",497
"dead",496
"wine",496
"allowed",494
"hope",493
"early",493
"reading",492
"child",491
"needs",491
"line",491
"played",490
"l",489
"driving",489
"eleven",488
"books",488
"strange",487
"till",487
"bottom",486
"finished",486
"g",485
"sitting",484
"using",483
"late",481
"rest",481
"learn",480
"care",479
"given",479
"class",477
"holiday",475
"tv",475
"computer",473
"lived",471
"war",469
"city",469
"party",468
"box",468
"usually",468
"bus",468
"spend",468
"church",468
"company",467
"british",467
"watching",467
"friday",467
"yours",466
"football",464
"chicken",464
"watched",462
"changed",462
"garden",461
"takes",459
"group",459
"story",458
"team",457
"died",457
"south",457
"stick",455
"miles",452
"space",449
"eating",444
"birthday",444
"hello",444
"chocolate",443
"turned",443
"fish",443
"cheap",442
"main",441
"proper",441
"paying",441
"tax",439
"stupid",438
"level",438
"whereas",437
"darling",436
"lose",436
"sent",435
"die",434
"liked",434
"huge",433
"hey",433
"hm",432
"street",430
"built",429
"build",429
"telling",428
"nineteen",427
"awful",427
"students",427
"anywhere",427
"weekend",426
"difference",426
"houses",426
"normal",425
"cheese",422
"beer",421
"kept",420
"bloke",419
"brother",417
"extra",415
"sh",415
"apart",415
"french",412
"hmm",412
"sat",411
"sunday",410
"history",410
"fit",407
"moving",402
"third",402
"girls",401
"break",400
"coffee",400
"board",399
"hate",399
"thanks",399
"ready",399
"kinda",399
"north",396
"american",396
"instead",395
"pub",395
"size",395
"inside",393
"boy",393
"dinner",392
"sleep",392
"depends",392
"town",391
"stopped",391
"piece",391
"brought",390
"colour",389
"bigger",389
"air",388
"otherwise",388
"summer",388
"nobody",388
"won",388
"wonder",388
"quick",386
"especially",385
"cook",385
"felt",384
"bag",384
"paper",382
"land",382
"sixty",381
"older",381
"blah",381
"load",380
"pass",380
"twenty-five",380
"dark",380
"office",379
"sign",379
"uni",378
"wall",377
"slightly",377
"walked",376
"song",376
"hair",375
"rid",375
"win",374
"finish",374
"within",373
"pictures",373
"eighteen",372
"r",371
"special",370
"deal",370
"cat",369
"onto",369
"shut",368
"recording",368
"worry",368
"crazy",368
"saturday",366
"grand",365
"listen",364
"h",362
"perhaps",362
"million",362
"choose",362
"bank",362
"bar",360
"seeing",359
"mother",358
"bread",356
"double",356
"become",355
"answer",354
"spent",353
"totally",353
"meet",352
"bottle",352
"trouble",350
"wear",350
"likes",349
"similar",348
"price",348
"station",348
"stand",348
"forget",348
"chinese",346
"pull",345
"interested",344
"system",343
"fire",343
"floor",343
"realise",340
"kid",339
"worse",339
"men",339
"games",338
"teaching",338
"u",338
"nearly",337
"cars",335
"foot",334
"bike",333
"favourite",333
"teacher",332
"roll",332
"carry",332
"ridiculous",331
"corner",331
"flat",331
"meat",331
"points",331
"married",330
"everywhere",330
"kill",328
"beautiful",328
"possibly",328
"cream",328
"longer",327
"experience",327
"internet",326
"lives",326
"miss",326
"ice",325
"tree",325
"charge",325
"example",325
"busy",324
"email",323
"window",323
"themselves",323
"club",323
"poor",323
"wood",322
"baby",322
"actual",322
"tonight",321
"jobs",320
"fat",320
"kitchen",320
"power",319
"short",319
"monday",319
"centre",318
"china",318
"list",316
"government",316
"easier",315
"text",314
"quickly",314
"cup",313
"women",313
"local",313
"touch",312
"teach",312
"save",312
"certainly",311
"body",311
"fly",310
"giving",310
"ring",309
"research",309
"conversation",309
"ages",309
"particularly",308
"countries",308
"stuck",307
"sweet",306
"de",306
"plus",306
"video",303
"news",302
"taste",300
"sun",300
"writing",298
"picked",298
"chance",298
"grow",298
"needed",297
"glass",297
"clean",297
"none",296
"yellow",296
"agree",296
"boat",295
"france",295
"drop",295
"written",294
"properly",294
"expect",293
"low",293
"decided",292
"per",289
"korea",289
"clear",289
"record",288
"fairly",288
"form",288
"towards",287
"eyes",287
"ways",287
"sugar",285
"father",284
"plan",284
"single",284
"annoying",284
"twice",283
"art",283
"lunch",283
"horse",283
"service",282
"recently",282
"jump",281
"hands",280
"cake",280
"further",280
"strong",280
"worst",279
"order",279
"starts",278
"national",278
"sixteen",277
"smell",276
"programme",275
"rubbish",275
"milk",274
"ground",274
"hotel",273
"drinking",273
"problems",273
"wednesday",273
"mummy",273
"fourteen",272
"odd",271
"fast",271
"waiting",271
"forward",270
"attack",270
"meal",270
"player",270
"add",269
"important",268
"himself",268
"sold",268
"fantastic",268
"younger",267
"anybody",267
"worried",267
"questions",266
"facebook",266
"warm",266
"terms",265
"ball",264
"sauce",264
"perfect",263
"spanish",263
"evening",263
"involved",263
"lady",262
"weather",262
"crap",261
"chips",261
"test",260
"police",260
"band",260
"shot",260
"wife",260
"pieces",259
"drunk",258
"sister",258
"general",258
"education",257
"killed",257
"village",257
"famous",255
"date",255
"based",255
"feeling",254
"ooh",254
"beach",254
"starting",254
"sea",253
"throw",253
"post",253
"cooking",251
"quiet",251
"enjoy",250
"particular",250
"pizza",250
"slow",250
"earlier",250
"during",249
"beat",249
"joke",249
"apple",248
"student",248
"buying",248
"market",247
"series",247
"aye",247
"eighty",247
"fell",246
"thursday",246
"tiny",246
"known",245
"biggest",245
"press",245
