,tag,m_count,m_freq,f_count,f_freq
0,show_VERB,1757,0.001262187254854069,937,0.0009484199243085999
1,service_SUBST,1747,0.0012550034913090828,595,0.0006022517128747246
2,certainly_ADV,1724,0.0012384808351556147,565,0.0005718860802928057
3,able_ADJ,1722,0.0012370440824466175,910,0.0009210908549848729
4,idea_SUBST,1717,0.0012334522006741244,824,0.0008340427082500387
5,local_ADJ,1712,0.0012298603189016314,475,0.000480789182547049
6,ninety_ADJ,1673,0.0012018436410761852,787,0.0007965917613990054
7,change_VERB,1660,0.0011925047484677032,915,0.000926151793748526
8,change_VERB,1660,0.0011925047484677032,337,0.0003411072726702221
9,change_SUBST,984,0.0007068823328266386,915,0.000926151793748526
10,change_SUBST,984,0.0007068823328266386,337,0.0003411072726702221
11,obviously_ADV,1655,0.0011889128666952103,687,0.0006953729861259425
12,county_SUBST,1652,0.0011867577376317143,371,0.00037552165626306356
13,important_ADJ,1649,0.0011846026085682185,437,0.0004423260479432851
14,moment_SUBST,1610,0.0011565859307427725,766,0.0007753358185916622
15,hand_SUBST,1607,0.0011544308016792765,1017,0.0010293949445270502
16,government_SUBST,1581,0.0011357530164623126,387,0.0003917166603067536
17,twelve_ADJ,1560,0.0011206671130178415,831,0.0008411280225191531
18,life_SUBST,1550,0.0011134833494728553,966,0.0009777733691377882
19,member_SUBST,1546,0.001110609844054861,408,0.00041297260311409686
20,water_SUBST,1528,0.0010976790696738859,1032,0.0010445777608180096
21,high_ADJ,1525,0.00109552394061039,648,0.000655897663769448
22,e_SUBST,1524,0.0010948055642558915,606,0.0006133857781547615
23,paper_SUBST,1519,0.0010912136824833983,860,0.0008704814673483413
24,sixty_ADJ,1511,0.0010854666716474093,583,0.000590105459841957
25,whatever_PRON,1509,0.0010840299189384122,827,0.0008370792715082306
26,country_SUBST,1502,0.0010790012844569218,511,0.0005172279416453516
27,help_VERB,1495,0.0010739726499754316,1153,0.0011670524788984157
28,line_SUBST,1495,0.0010739726499754316,552,0.0005587276395073075
29,maybe_ADV,1492,0.0010718175209119356,926,0.000937285859028563
30,believe_VERB,1475,0.0010596051228854591,675,0.0006832267330931749
31,read_VERB,1472,0.0010574499938219633,1026,0.001038504634301626
32,stuff_SUBST,1463,0.0010509846066314758,903,0.0009140055407157585
33,reason_SUBST,1452,0.001043082466731991,444,0.0004494113622123995
34,world_SUBST,1412,0.0010143474125520464,503,0.0005091304396235067
35,already_ADV,1393,0.0010006982618165727,689,0.0006973973616314037
36,business_SUBST,1393,0.0010006982618165727,474,0.0004797769947943184
37,small_ADJ,1390,0.0009985431327530767,742,0.0007510433125261271
38,far_ADV,1377,0.0009892042401445948,524,0.0005303863824308499
39,far_ADV,1377,0.0009892042401445948,357,0.00036135102772483473
40,far_ADJ,986,0.0007083190855356358,524,0.0005303863824308499
41,far_ADJ,986,0.0007083190855356358,357,0.00036135102772483473
42,policy_SUBST,1366,0.00098130210024511,349,0.0003532535257029897
43,lose_VERB,1364,0.0009798653475361129,811,0.0008208842674645406
44,company_SUBST,1351,0.0009705264549276308,512,0.0005182401293980823
45,together_ADV,1338,0.0009611875623191488,729,0.0007378848717406289
46,john_SUBST,1327,0.0009532854224196639,937,0.0009484199243085999
47,wrong_ADJ,1324,0.0009511302933561681,834,0.000844164585777345
48,pick_VERB,1309,0.0009403546480386889,1139,0.001152881850360187
49,send_VERB,1304,0.0009367627662661958,1051,0.0010638093281198917
50,speak_VERB,1297,0.0009317341317847055,813,0.0008229086429700018
51,whole_ADJ,1297,0.0009317341317847055,634,0.0006417270352312191
52,everybody_PRON,1278,0.0009180849810492318,862,0.0008725058428538027
53,back_SUBST,1275,0.0009159298519857359,1021,0.0010334436955379727
54,second_ADJ,1267,0.000910182841149747,483,0.0004888866845688941
55,report_SUBST,1266,0.0009094644647952484,573,0.0005799835823146507
56,home_SUBST,1265,0.0009087460884407497,952,0.0009636027405995593
57,home_ADV,935,0.0006716818914562063,952,0.0009636027405995593
58,ago_ADV,1263,0.0009073093357317525,808,0.0008178477042063486
59,level_SUBST,1242,0.0008922234322872815,365,0.00036944852974667977
60,person_SUBST,1228,0.0008821661633243009,766,0.0007753358185916622
61,anybody_PRON,1223,0.0008785742815518078,808,0.0008178477042063486
62,understand_VERB,1222,0.0008778559051973092,584,0.0005911176475946877
63,system_SUBST,1213,0.0008713905180068217,385,0.0003896922848012924
64,party_SUBST,1212,0.0008706721416523231,591,0.0005982029618638021
65,eighty_ADJ,1208,0.0008677986362343286,518,0.000524313255914466
66,figure_SUBST,1207,0.00086708025987983,343,0.0003471803991866059
67,carry_VERB,1202,0.0008634883781073369,576,0.0005830201455728426
68,plan_SUBST,1198,0.0008606148726893424,403,0.0004079116643504437
69,easy_ADJ,1186,0.0008519943564353591,634,0.0006417270352312191
