hw_pos,mcount,fcount
ground_SUBST,592,204
love_VERB,591,872
both_ADV,590,245
state_SUBST,590,224
use_SUBST,589,211
receive_VERB,583,0
university_SUBST,582,0
department_SUBST,581,0
item_SUBST,581,0
bye_INTERJ,579,663
second_SUBST,578,212
card_SUBST,574,701
guy_SUBST,574,0
onto_PREP,574,235
record_SUBST,573,204
colleague_SUBST,571,0
major_ADJ,569,0
management_SUBST,568,0
yorkshire_SUBST,566,0
simple_ADJ,564,0
opportunity_SUBST,563,0
available_ADJ,561,0
l_SUBST,560,0
basis_SUBST,558,0
process_SUBST,557,0
ready_ADJ,557,589
public_ADJ,556,0
sunday_SUBST,554,705
thirteen_ADJ,554,206
increase_VERB,548,0
involve_VERB,545,200
refer_VERB,545,0
labour_ADJ,541,204
structure_SUBST,540,0
right_SUBST,537,208
likely_ADJ,536,0
support_SUBST,535,0
christmas_SUBST,534,1146
white_ADJ,534,596
goal_SUBST,531,0
air_SUBST,530,226
possibly_ADV,529,0
set_SUBST,529,217
single_ADJ,529,0
lead_VERB,528,0
monday_SUBST,528,615
y_SUBST,528,0
income_SUBST,527,0
pension_SUBST,527,0
rule_SUBST,526,0
detail_SUBST,525,0
society_SUBST,525,0
lord_SUBST,521,0
dear_INTERJ,520,884
raise_VERB,519,0
value_SUBST,519,0
continue_VERB,518,0
offer_VERB,515,218
bag_SUBST,514,708
deal_SUBST,514,0
space_SUBST,512,208
east_SUBST,511,0
however_ADV,510,0
greater_SUBST,508,0
degree_SUBST,505,0
contract_SUBST,504,0
nil_PRON,504,0
cheap_ADJ,503,526
nearly_ADV,501,614
further/far_ADV,500,201
supposed_ADJ,500,607
base_VERB,499,0
field_SUBST,499,0
colour_SUBST,497,621
subject_SUBST,496,0
control_SUBST,492,0
per_PREP,490,0
close_ADJ,487,0
discuss_VERB,487,0
future_SUBST,486,0
doctor_SUBST,485,604
include_VERB,484,0
statement_SUBST,483,0
condition_SUBST,481,0
conference_SUBST,481,200
charge_SUBST,474,0
develop_VERB,474,0
along_PREP,473,206
file_SUBST,473,0
appear_VERB,469,0
apply_VERB,469,0
wear_VERB,467,814
increase_SUBST,466,0
client_SUBST,464,200
action_SUBST,461,0
till_PREP,457,617
care_SUBST,456,0
unit_SUBST,455,0
sales_SUBST,453,0
aware_ADJ,451,0
bother_VERB,451,570
hospital_SUBST,451,510
pressure_SUBST,450,0
united_ADJ,450,0
evidence_SUBST,448,0
garden_SUBST,448,481
share_VERB,446,0
discussion_SUBST,445,0
involved_ADJ,444,0
worker_SUBST,442,0
factor_SUBST,440,0
force_SUBST,438,0
start_SUBST,437,0
whole_SUBST,437,0
slightly_ADV,436,0
pardon_SUBST,435,507
coal_SUBST,433,0
election_SUBST,431,0
enjoy_VERB,428,510
shut_VERB,428,564
football_SUBST,427,0
argument_SUBST,426,0
positive_ADJ,425,0
affect_VERB,423,0
division_SUBST,423,0
sector_SUBST,423,0
wage_SUBST,423,0
britain_SUBST,422,0
proposal_SUBST,421,0
chap_SUBST,419,0
history_SUBST,418,0
copy_SUBST,417,0
village_SUBST,417,0
relate_VERB,416,0
reduce_VERB,415,0
financial_ADJ,413,0
sheet_SUBST,411,0
activity_SUBST,410,0
hot_ADJ,410,453
investment_SUBST,408,0
create_VERB,407,0
housing_SUBST,405,0
role_SUBST,404,0
common_ADJ,403,0
route_SUBST,403,0
weekend_SUBST,403,521
safety_SUBST,402,0
element_SUBST,401,0
councillor_SUBST,400,0
freud_SUBST,399,0
upon_PREP,399,0
little_ADV,398,0
employment_SUBST,397,0
christ_SUBST,396,0
correct_ADJ,396,0
due_ADJ,396,0
phone_VERB,395,639
practice_SUBST,395,0
similar_ADJ,395,0
cold_ADJ,393,591
ourselves_PRON,393,0
greenbelt_SUBST,390,0
public_SUBST,390,0
current_ADJ,389,0
purpose_SUBST,388,0
nottingham_SUBST,387,0
profit_SUBST,386,0
president_SUBST,385,0
lane_SUBST,383,0
square_VERB,382,0
political_ADJ,381,0
engine_SUBST,379,0
introduce_VERB,378,0
congress_SUBST,377,0
present_ADJ,377,0
seventeen_ADJ,377,0
face_VERB,376,0
favour_SUBST,376,0
identify_VERB,376,0
resource_SUBST,376,0
standard_SUBST,376,0
study_SUBST,376,0
central_ADJ,372,0
pattern_SUBST,372,0
range_SUBST,372,0
material_SUBST,371,0
scale_SUBST,371,0
several_ADJ,371,0
instance_SUBST,370,0
represent_VERB,370,0
direction_SUBST,369,0
european_ADJ,369,0
wednesday_SUBST,369,477
choice_SUBST,368,0
point_VERB,366,0
daddy_SUBST,365,640
feeling_SUBST,365,0
baby_SUBST,0,729
hair_SUBST,0,670
dinner_SUBST,0,589
bet_VERB,0,544
coffee_SUBST,0,503
love_SUBST,0,501
yours_PRON,0,489
leg_SUBST,0,479
bloody_ADV,0,469
birthday_SUBST,0,468
kitchen_SUBST,0,466
bedroom_SUBST,0,452
sing_VERB,0,450
awful_ADJ,0,443
sleep_VERB,0,434
wash_VERB,0,434
glass_SUBST,0,429
thursday_SUBST,0,426
cat_SUBST,0,421
stupid_ADJ,0,419
drink_VERB,0,418
husband_SUBST,0,417
tuesday_SUBST,0,417
drink_SUBST,0,408
sister_SUBST,0,401
richard_SUBST,0,397
darling_SUBST,0,396
cake_SUBST,0,386
coat_SUBST,0,382
hate_VERB,0,380
fox_SUBST,0,373
lunch_SUBST,0,370
terrible_ADJ,0,370
laugh_VERB,0,369
upstairs_ADV,0,363
silly_ADJ,0,360
conversation_SUBST,0,346
egg_SUBST,0,344
beautiful_ADJ,0,340
chocolate_SUBST,0,336
bottle_SUBST,0,335
ann_SUBST,0,331
feed_VERB,0,331
charlotte_SUBST,0,326
fish_SUBST,0,325
shoe_SUBST,0,325
james_SUBST,0,324
till_CONJ,0,321
clean_VERB,0,319
milk_SUBST,0,319
horrible_ADJ,0,318
warm_ADJ,0,317
bath_SUBST,0,312
busy_ADJ,0,311
clothes_SUBST,0,311
afford_VERB,0,310
cook_VERB,0,310
college_SUBST,0,304
hurt_VERB,0,303
train_SUBST,0,303
present_SUBST,0,302
biscuit_SUBST,0,301
anywhere_ADV,0,300
ours_PRON,0,299
sick_ADJ,0,299
jane_SUBST,0,293
though_CONJ,0,292
pair_SUBST,0,291
collect_VERB,0,290
summer_SUBST,0,290
dave_SUBST,0,288
meal_SUBST,0,288
tim_SUBST,0,288
daughter_SUBST,0,287
chris_SUBST,0,285
expensive_ADJ,0,285
tired_ADJ,0,285
wood_SUBST,0,284
music_SUBST,0,283
dear_ADJ,0,282
apparently_ADV,0,276
flower_SUBST,0,276
properly_ADV,0,275
chicken_SUBST,0,273
hey_INTERJ,0,273
brilliant_ADJ,0,272
jump_VERB,0,271
like_CONJ,0,271
arm_SUBST,0,270
front_ADJ,0,270
bread_SUBST,0,269
lie_VERB,0,268
pence_SUBST,0,266
marry_VERB,0,264
toilet_SUBST,0,262
outside_ADV,0,261
tape_VERB,0,261
shit_SUBST,0,260
jonathan_SUBST,0,259
washing_SUBST,0,258
wonderful_ADJ,0,258
key_SUBST,0,257
margaret_SUBST,0,254
emma_SUBST,0,253
weather_SUBST,0,252
careful_ADJ,0,251
chip_SUBST,0,251
finger_SUBST,0,251
insurance_SUBST,0,249
dead_ADJ,0,248
care_VERB,0,247
none_PRON,0,244
potato_SUBST,0,243
cheese_SUBST,0,240
june_SUBST,0,240
pen_SUBST,0,240
shopping_SUBST,0,238
meat_SUBST,0,237
fancy_VERB,0,236
mouth_SUBST,0,236
blow_VERB,0,234
jim_SUBST,0,234
help_SUBST,0,232
pretty_ADJ,0,232
rid_VERB,0,232
telephone_SUBST,0,232
bird_SUBST,0,231
brian_SUBST,0,231
heart_SUBST,0,231
telly_SUBST,0,231
carpet_SUBST,0,230
lucky_ADJ,0,230
geoff_SUBST,0,229
george_SUBST,0,229
heavy_ADJ,0,229
wee_ADJ,0,229
quiet_ADJ,0,226
cream_SUBST,0,225
glad_ADJ,0,225
clean_ADJ,0,223
martin_SUBST,0,223
touch_VERB,0,223
voice_SUBST,0,223
dark_ADJ,0,222
w_SUBST,0,220
grandma_SUBST,0,219
play_SUBST,0,219
tony_SUBST,0,219
plenty_PRON,0,218
bathroom_SUBST,0,217
cupboard_SUBST,0,217
married_ADJ,0,217
nurse_SUBST,0,217
rubbish_SUBST,0,216
worried_ADJ,0,216
dry_ADJ,0,215
twice_ADV,0,215
urgh_INTERJ,0,215
lay_VERB,0,214
since_PREP,0,214
blood_SUBST,0,213
cor_INTERJ,0,213
pub_SUBST,0,213
shout_VERB,0,213
top_ADJ,0,213
mary_SUBST,0,212
sugar_SUBST,0,212
used_ADJ,0,212
stairs_SUBST,0,210
christopher_SUBST,0,208
honestly_ADV,0,208
stone_SUBST,0,208
thick_ADJ,0,208
hm_INTERJ,0,207
garage_SUBST,0,205
pleased_ADJ,0,205
test_SUBST,0,205
mad_ADJ,0,204
cope_VERB,0,203
tooth_SUBST,0,203
wedding_SUBST,0,203
animal_SUBST,0,201
ear_SUBST,0,201
neil_SUBST,0,201
nose_SUBST,0,201
tin_SUBST,0,201
steve_SUBST,0,200
andrew_SUBST,0,199
charge_VERB,0,199
