hw_pos,mcount,fcount,sim_score
clean_ADJ,197,223,0.74045116
discussion_SUBST,445,119,0.7405369
sing_VERB,315,450,0.74064076
value_SUBST,519,145,0.7407933
ann_SUBST,152,331,0.7416258
ear_SUBST,155,201,0.74254024
though_ADV,1663,1834,0.74292624
slightly_ADV,436,166,0.74404
in_VERB,691,1072,0.7445885
common_ADJ,403,154,0.74497694
margaret_SUBST,123,254,0.7450611
greenbelt_SUBST,390,64,0.7452969
aware_ADJ,451,125,0.7460408
deal_SUBST,514,133,0.74604905
cheese_SUBST,162,240,0.74622774
apply_VERB,469,183,0.746445
detail_SUBST,525,160,0.7470818
carpet_SUBST,141,230,0.74718153
safety_SUBST,402,124,0.74736375
issue_SUBST,1111,240,0.74757934
unit_SUBST,455,190,0.74842465
fish_SUBST,282,325,0.74864745
birthday_SUBST,239,468,0.7494297
result_SUBST,730,163,0.7495099
chicken_SUBST,169,273,0.7500615
national_ADJ,956,288,0.7501798
k_SUBST,619,215,0.7504005
standard_SUBST,376,116,0.75063807
position_SUBST,800,206,0.75075763
contract_SUBST,504,156,0.7510678
okay_ADJ,749,304,0.75127304
society_SUBST,525,194,0.7516026
clear_ADJ,848,249,0.75190264
james_SUBST,228,324,0.7526252
coat_SUBST,152,382,0.75267726
may_VERB,2859,798,0.7529742
proposal_SUBST,421,81,0.75297445
marry_VERB,193,264,0.75492877
darling_SUBST,124,396,0.75536287
g_SUBST,1075,349,0.75568676
bathroom_SUBST,92,217,0.75640774
dear_ADJ,163,282,0.75716233
wood_SUBST,277,284,0.757495
half_SUBST,740,278,0.75767267
discuss_VERB,487,141,0.75783247
single_ADJ,529,170,0.7581645
officer_SUBST,894,280,0.7589473
lead_VERB,528,148,0.75900036
s_SUBST,1558,579,0.75929236
management_SUBST,568,134,0.75952154
city_SUBST,976,302,0.7596425
budget_SUBST,610,172,0.7596672
ooh_INTERJ,1501,2249,0.7599094
building_SUBST,825,277,0.760473
card_SUBST,574,701,0.76074886
settlement_SUBST,807,133,0.7613156
route_SUBST,403,64,0.7614941
force_SUBST,438,104,0.7622029
pension_SUBST,527,152,0.7622163
space_SUBST,512,208,0.7626674
company_SUBST,1351,512,0.7628452
statement_SUBST,483,137,0.76291883
fucking_ADV,607,146,0.7630481
effect_SUBST,757,144,0.7631065
like_ADV,2990,3377,0.76318455
cupboard_SUBST,124,217,0.76350564
doctor_SUBST,485,604,0.763847
experience_SUBST,639,214,0.7641885
tired_ADJ,135,285,0.7646233
far_ADJ,986,357,0.7648046
certainly_ADV,1724,565,0.7654077
argument_SUBST,426,141,0.7657281
evidence_SUBST,448,121,0.766075
whole_SUBST,437,155,0.76666266
dark_ADJ,159,222,0.7667266
cat_SUBST,264,421,0.7667424
condition_SUBST,481,128,0.7669491
industry_SUBST,614,109,0.76704496
housing_SUBST,405,110,0.7670878
second_ADJ,1267,483,0.76770747
possible_ADJ,785,273,0.76776433
authority_SUBST,967,215,0.7687486
pen_SUBST,170,240,0.76877135
nearly_ADV,501,614,0.76898104
figure_SUBST,1207,343,0.76969403
central_ADJ,372,162,0.77011883
bottle_SUBST,271,335,0.7701823
thick_ADJ,167,208,0.77040166
n_SUBST,914,289,0.7704718
h_SUBST,740,301,0.7713858
increase_SUBST,466,77,0.7714055
line_SUBST,1495,552,0.7715608
b_SUBST,2045,681,0.771591
feed_VERB,295,331,0.77190506
benefit_SUBST,679,175,0.7731166
include_VERB,484,152,0.7731834
mention_VERB,866,364,0.77346706
site_SUBST,795,238,0.7741852
set_SUBST,529,217,0.7742178
state_SUBST,590,224,0.7743811
black_ADJ,609,643,0.7749444
dad_SUBST,1065,1376,0.77498513
case_SUBST,1909,766,0.77506846
chance_SUBST,793,327,0.7752573
president_SUBST,385,128,0.7755982
tonight_ADV,705,829,0.77651983
p_SUBST,2056,761,0.7768753
